TUPM-21-0377	06/15/2023	01:49:36	IN
TUPM-21-5181	06/15/2023	01:49:45	IN
TUPM-21-0387	06/15/2023	01:49:53	IN
TUPM-21-2592	06/15/2023	01:50:02	IN
TUPM-21-0377	06/15/2023	01:50:21	OUT
TUPM-21-0377	06/15/2023	02:29:28	IN
TUPM-21-0377	06/15/2023	02:30:28	OUT
TUPM-21-0377	06/15/2023	02:30:49	IN
TUPM-21-0377	06/15/2023	02:31:17	OUT
TUPM-21-0377	06/15/2023	02:31:38	IN
TUPM-21-0377	06/15/2023	02:31:41	OUT
TUPM-21-2592	06/15/2023	02:32:26	OUT
TUPM-21-5181	06/15/2023	02:32:50	OUT
TUPM-21-0377	06/15/2023	02:44:42	IN
TUPM-21-0377	06/15/2023	02:47:55	OUT
TUPM-21-5181	06/15/2023	02:48:08	IN
TUPM-21-0387	06/15/2023	02:48:22	OUT
TUPM-21-5181	06/15/2023	07:28:42	OUT
TUPM-21-0377	06/15/2023	07:28:52	IN
TUPM-21-0387	06/15/2023	07:29:01	IN
TUPM-21-2592	06/15/2023	07:29:09	IN
TUPM-21-0377	06/15/2023	09:58:48	OUT
TUPM-21-5181	06/15/2023	09:58:58	IN
TUPM-21-2592	06/15/2023	09:59:09	OUT
TUPM-21-0387	06/15/2023	09:59:14	OUT
TUPM-21-5181	06/15/2023	09:59:36	OUT
TUPM-21-0377	06/15/2023	09:59:45	IN
TUPM-21-2592	06/15/2023	09:59:54	IN
TUPM-21-0387	06/15/2023	10:00:01	IN
TUPM-21-0387	06/15/2023	10:00:04	OUT
TUPM-21-2592	06/15/2023	10:01:39	OUT
TUPM-21-0377	06/15/2023	10:08:14	OUT
TUPM-21-2592	06/15/2023	10:08:21	IN
TUPM-21-2592	06/15/2023	10:08:24	OUT
TUPM-21-2592	06/15/2023	10:08:27	IN
TUPM-21-5181	06/15/2023	10:09:16	IN
