TUPM-21-0377	06/18/2023	01:58:50	IN
TUPM-21-0387	06/18/2023	01:59:04	IN
TUPM-21-0387	06/18/2023	01:59:23	OUT
TUPM-21-5181	06/18/2023	01:59:36	IN
TUPM-21-5181	06/18/2023	02:10:40	OUT
TUPM-21-2592	06/18/2023	02:10:54	IN
TUPM-21-0377	06/18/2023	02:15:40	OUT
TUPM-21-0387	06/18/2023	02:18:27	IN
TUPM-21-0387	06/18/2023	02:18:30	OUT
TUPM-21-0387	06/18/2023	02:18:33	IN
TUPM-21-5181	06/18/2023	02:24:04	IN
TUPM-21-5181	06/18/2023	02:24:08	OUT
TUPM-21-5181	06/18/2023	02:24:11	IN
TUPM-21-5181	06/18/2023	02:24:14	OUT
TUPM-21-5181	06/18/2023	02:24:18	IN
TUPM-21-5181	06/18/2023	02:24:21	OUT
TUPM-21-5181	06/18/2023	02:24:24	IN
TUPM-21-5181	06/18/2023	02:24:27	OUT
TUPM-21-2592	06/18/2023	02:26:13	OUT
TUPM-21-0377	06/18/2023	04:31:54	IN
TUPM-21-0377	06/18/2023	04:31:58	OUT
TUPM-21-0377	06/18/2023	04:32:01	IN
TUPM-21-0377	06/18/2023	04:32:04	OUT
TUPM-21-0377	06/18/2023	04:32:07	IN
TUPM-21-0387	06/18/2023	04:32:16	OUT
TUPM-21-5181	06/18/2023	04:32:38	IN
TUPM-21-2592	06/18/2023	04:32:49	IN
TUPM-21-2592	06/18/2023	05:12:08	OUT
TUPM-21-2592	06/18/2023	05:12:11	IN
TUPM-21-2592	06/18/2023	05:13:13	OUT
TUPM-21-0377	06/18/2023	05:36:21	OUT
TUPM-21-2592	06/18/2023	05:36:34	IN
TUPM-21-2592	06/18/2023	05:38:22	OUT
TUPM-21-0377	06/18/2023	05:38:40	IN
TUPM-21-0377	06/18/2023	10:27:14	OUT
TUPM-21-0377	06/18/2023	10:32:43	IN
TUPM-21-5181	06/18/2023	10:35:06	OUT
TUPM-21-2592	06/18/2023	10:35:23	IN
TUPM-21-0387	06/18/2023	10:35:31	IN
TUPM-21-5181	06/18/2023	10:37:03	IN
TUPM-21-0387	06/18/2023	10:37:13	OUT
TUPM-21-0377	06/18/2023	10:37:22	OUT
